,nb_uniq_visitors,nb_visits,nb_users,nb_actions,max_actions,bounce_count,sum_visit_length,Referrers_visitorsFromSearchEngines,Referrers_visitorsFromSocialNetworks,Referrers_visitorsFromDirectEntry,Referrers_visitorsFromWebsites,Referrers_visitorsFromCampaigns,Referrers_distinctSearchEngines,Referrers_distinctSocialNetworks,Referrers_distinctKeywords,Referrers_distinctWebsites,Referrers_distinctWebsitesUrls,Referrers_distinctCampaigns,Referrers_visitorsFromDirectEntry_percent,Referrers_visitorsFromSearchEngines_percent,Referrers_visitorsFromCampaigns_percent,Referrers_visitorsFromSocialNetworks_percent,Referrers_visitorsFromWebsites_percent,nb_conversions,nb_visits_converted,revenue,conversion_rate,nb_pageviews,nb_uniq_pageviews,nb_downloads,nb_uniq_downloads,nb_outlinks,nb_uniq_outlinks,nb_searches,nb_keywords,nb_hits_with_time_generation,avg_time_generation,bounce_rate,nb_actions_per_visit,avg_time_on_site,avg_time_on_site_returning,nb_actions_per_visit_returning,bounce_rate_returning,avg_time_on_site_new,nb_actions_per_visit_new,bounce_rate_new,nb_visits_new,nb_actions_new,nb_uniq_visitors_new,nb_users_new,max_actions_new,nb_visits_returning,nb_actions_returning,nb_uniq_visitors_returning,nb_users_returning,max_actions_returning,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit
2019-02-06,16128,17553,193,286285,16398,8868,2732837,11996,124,4003,1429,1,11,5,475,353,575,1,0%,0%,0%,0%,0%,7518,3585,0,20.42%,147339,117217,6891,5929,2784,2410,129271,500,34813,0.78,51%,16.3,156,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-07,15533,16847,157,285596,19773,8414,2628209,11990,205,3313,1339,0,13,7,510,359,591,0,0%,0%,0%,0%,0%,7503,3577,0,21.23%,154486,120701,6524,5546,2623,2280,121963,500,32398,0.847,50%,17,156,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-08,13347,14546,154,236990,17598,7146,2302650,9943,276,3072,1255,0,15,6,414,304,531,0,0%,0%,0%,0%,0%,5665,2882,0,19.81%,132637,108854,5711,4744,2310,1959,96332,500,27835,1.731,49%,16.3,158,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-09,6679,7096,56,138396,7611,4063,873323,4397,192,1918,588,1,13,4,172,203,301,1,0%,0%,0%,0%,0%,3289,1354,0,19.08%,72803,54622,2048,1757,1107,942,62438,500,12979,0.7,57%,19.5,123,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-10,7976,8459,56,131822,9423,4871,1071824,5347,155,2309,648,0,15,4,192,217,339,0,0%,0%,0%,0%,0%,3708,1557,0,18.41%,73884,55103,2372,2034,1481,1220,54085,500,15080,0.69,58%,15.6,127,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-11,16133,17615,165,275330,8272,8856,2739935,11727,389,4092,1407,0,14,6,489,375,634,0,0%,0%,0%,0%,0%,6846,3162,0,17.95%,145646,110380,7034,5979,2931,2523,119719,500,33508,0.886,50%,15.6,156,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-12,16448,17856,170,280060,12063,9230,2592322,11513,328,4410,1604,1,14,7,544,370,617,1,0%,0%,0%,0%,0%,6920,3174,0,17.78%,148932,110962,6831,5832,2737,2354,121560,500,34426,0.793,52%,15.7,145,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-13,14937,16207,164,260507,13609,7982,2439201,10913,174,3496,1624,0,15,5,508,350,580,0,0%,0%,0%,0%,0%,6433,2890,0,17.83%,142364,105642,6509,5626,2705,2342,108929,500,31471,0.75,49%,16.1,151,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-14,13632,14693,164,251856,10749,7204,2305869,10132,165,3152,1243,1,13,6,442,325,534,1,0%,0%,0%,0%,0%,5885,2646,0,18.01%,137434,102177,5891,5001,2458,2132,106073,500,28734,0.749,49%,17.1,157,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-15,12167,13205,156,228582,9901,6411,2108232,9176,188,2711,1129,1,12,6,400,320,505,1,0%,0%,0%,0%,0%,5493,2487,0,18.83%,125902,95149,5924,4913,2191,1916,94565,500,25579,0.909,49%,17.3,160,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
2019-02-16,5533,5868,42,108597,6807,3128,710467,4050,162,1178,477,1,11,4,163,167,246,1,0%,0%,0%,0%,0%,2862,1214,0,20.69%,63769,45995,1800,1436,978,836,42050,500,10223,1.169,53%,18.5,121,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
