date,avg_time_generation,avg_time_on_site,avg_time_on_site_returning,bounce_count,bounce_rate,bounce_rate_returning,conversion_rate,conversion_rate_new_visit,conversion_rate_returning_visit,max_actions,max_actions_returning,nb_actions,nb_actions_per_visit,nb_actions_per_visit_returning,nb_actions_returning,nb_conversions,nb_conversions_new_visit,nb_conversions_returning_visit,nb_downloads,nb_hits_with_time_generation,nb_keywords,nb_outlinks,nb_pageviews,nb_searches,nb_uniq_downloads,nb_uniq_outlinks,nb_uniq_pageviews,nb_uniq_visitors,nb_uniq_visitors_returning,nb_users,nb_users_returning,nb_visits,nb_visits_converted,nb_visits_converted_new_visit,nb_visits_converted_returning_visit,nb_visits_returning,revenue,revenue_new_visit,revenue_returning_visit,sum_visit_length
2018-03-03,0.678,229,358,2265,49%,50%,34.77%,34.27%,37.07%,7679,1608,102069,22.1,5.9,4839,2901,2122,779,763,9593,500,1260,63418,36628,664,1091,45410,4347,712,42,9,4610,1603,1299,304,820,0,0,0,1057437
2018-03-04,0.841,192,327,2612,48%,51%,39.23%,39.92%,35.89%,13839,2496,122951,22.8,7.1,6599,3609,2893,716,1053,11394,500,1625,76714,43559,863,1393,52500,5106,803,40,8,5399,2118,1786,332,925,0,0,0,1037199
2018-03-05,1.715,209,310,5244,46%,44%,41.46%,41.22%,42.14%,10605,1931,225384,19.7,4.8,14346,6978,5263,1715,2346,24875,500,3567,130582,88889,2029,3103,95901,10564,2499,85,38,11434,4740,3491,1249,2964,0,0,0,2384537
2018-03-06,0.831,217,306,5453,45%,44%,41.6%,41.07%,43.14%,17500,5605,236652,19.7,6.6,20284,7791,5793,1998,2536,26730,500,3948,134120,96048,2222,3415,99363,11084,2595,104,35,12022,5001,3670,1331,3085,0,0,0,2609090
2018-03-07,0.888,208,321,5125,46%,45%,41.07%,40.67%,42.21%,26387,1401,218579,19.7,4.7,13458,6948,4708,2240,2512,24325,500,3620,123092,89355,2210,3115,85103,10254,2441,89,28,11101,4559,3338,1221,2893,0,0,0,2313574
2018-03-08,0.619,199,312,5144,46%,44%,40.39%,39.51%,42.9%,35137,6103,232308,20.7,6.4,18788,7045,4939,2106,2332,24826,500,3708,136589,89679,2063,3232,95054,10350,2476,105,30,11213,4529,3279,1250,2914,0,0,0,2236155
2018-03-09,0.532,201,295,4857,47%,44%,41.31%,40.71%,43.08%,7509,753,116973,11.2,3.9,10386,6896,5105,1791,2079,24606,500,3152,70681,41061,1836,2725,52037,9682,2230,66,38,10441,4313,3180,1133,2630,0,0,0,2102201
2018-03-10,0.67,859,3127,132,44%,36%,47.47%,48.81%,40%,26479,26479,77124,259.7,617.4,27783,481,218,263,39,735,500,48,27467,23455,37,43,18367,289,43,26,3,297,141,123,18,45,0,0,0,255236
2018-03-11,0.446,284,608,1429,47%,48%,38.92%,39.42%,36.04%,188,166,8944,3,4.3,1913,2370,1827,543,461,6660,393,732,6815,625,402,633,4578,2896,393,4,4,3009,1171,1011,160,444,0,0,0,853568
2018-03-12,0.872,327,511,788,50%,49%,41.27%,41.73%,39.15%,14386,328,32145,20.3,5.2,1457,1595,1268,327,277,3862,500,452,21574,9309,236,398,13725,1535,262,6,4,1587,655,545,110,281,0,0,0,518332
2018-03-13,1.471,214,320,5924,46%,46%,39.79%,38.97%,42.21%,13846,9032,495765,38.7,6.6,21467,7695,5521,2174,2841,28225,500,3753,280518,208653,2457,3282,192601,11812,2741,159,48,12820,5101,3738,1363,3229,0,0,0,2740590
2018-03-14,0.67,228,379,5374,46%,43%,41.15%,40.54%,42.81%,11172,11172,291357,24.7,11.2,35269,7664,5135,2529,2449,27129,500,3656,155984,129268,2151,3232,109852,10858,2652,146,51,11799,4855,3501,1354,3163,0,0,0,2692394
2018-03-15,0.663,212,344,5544,46%,43%,40.51%,39.76%,42.65%,16072,2359,231521,19.2,5.5,17420,7642,5259,2383,2617,27096,500,3987,129441,95476,2295,3414,91751,11068,2635,109,31,12045,4880,3536,1344,3151,0,0,0,2557179
2018-03-16,0.675,218,322,4979,47%,46%,40.61%,40.07%,42.16%,10912,1879,201818,19,5.3,14680,7000,5013,1987,2081,24792,500,3242,124726,71769,1848,2824,92107,9840,2310,92,30,10647,4324,3157,1167,2768,0,0,0,2324715
2018-03-17,0.584,244,483,2794,50%,48%,39.5%,40.11%,36.27%,9318,2681,117382,20.9,7.2,6483,4118,3031,1087,963,12185,500,1455,72849,42115,838,1272,50944,5324,768,37,5,5610,2216,1891,325,896,0,0,0,1369712
2018-03-18,0.634,281,482,3049,49%,51%,40.35%,40.95%,37.2%,21663,1978,146736,23.4,6.3,6391,5154,3988,1166,1016,13996,500,1617,101272,42831,892,1387,73025,5969,853,37,8,6278,2533,2158,375,1008,0,0,0,1766851
2018-03-19,0.813,220,344,6145,46%,44%,41.34%,41.05%,42.18%,13486,1997,245107,18.5,5.1,17462,8684,6026,2658,2749,29455,500,4191,135812,102354,2432,3594,100217,12216,2857,125,44,13277,5489,4046,1443,3421,0,0,0,2926152
2018-03-20,0.699,221,342,5974,45%,43%,41.03%,40.5%,42.54%,9075,4311,247644,18.8,5.9,20499,8628,6075,2553,2832,30442,500,4051,141950,98811,2471,3598,105744,12101,2874,130,37,13190,5412,3941,1471,3458,0,0,0,2911635
2018-03-21,0.705,217,341,5814,46%,43%,38.35%,38.27%,38.57%,12459,4785,243002,19,6.3,20340,8741,6172,2569,2684,29005,500,4184,147685,88449,2307,3597,104729,11778,2727,94,28,12759,4893,3643,1250,3241,0,0,0,2773291
2018-03-22,0.709,215,321,5706,46%,44%,41.74%,41.38%,42.78%,12331,5125,232198,18.8,5.6,17711,8048,5710,2338,2559,27366,500,3832,132516,93288,2288,3292,93728,11339,2612,93,18,12319,5142,3795,1347,3149,0,0,0,2647377
2018-03-23,0.633,210,313,4994,46%,45%,41.08%,41.14%,40.89%,9325,2841,227834,21,5.2,14389,7207,5223,1984,2201,26106,500,3117,131420,91096,1936,2726,95400,10026,2304,96,17,10833,4450,3326,1124,2749,0,0,0,2277017
2018-03-24,0.557,248,464,2323,43%,50%,48.95%,50.5%,39.82%,9361,1660,113286,21.1,6.9,5412,6489,5073,1416,722,12613,500,1158,77131,34275,618,1011,48559,5085,658,43,5,5359,2623,2312,311,781,0,0,0,1331681
2018-03-25,0.581,220,358,2588,45%,48%,45.27%,46.59%,37.77%,9728,7439,115042,19.8,12.9,11277,5736,4818,918,873,13435,500,1446,72340,40383,740,1225,48040,5546,745,42,4,5803,2627,2298,329,871,0,0,0,1275455
2018-03-26,0.628,220,295,5898,44%,43%,43.28%,43.36%,43.06%,15740,687,245915,18.3,5.1,16739,10033,7759,2274,2770,32525,500,4149,134095,104901,2488,3572,91849,12498,2798,118,49,13467,5829,4415,1414,3284,0,0,0,2957491
2018-03-27,0.712,208,305,5880,46%,44%,40.44%,39.59%,42.87%,17449,1243,241059,18.7,4.9,16486,7945,5682,2263,2846,28816,500,4072,130400,103741,2483,3510,93491,11908,2859,119,43,12880,5209,3772,1437,3352,0,0,0,2680249
2018-03-28,0.678,193,271,5657,46%,44%,40.42%,39.4%,43.26%,21263,971,231927,18.8,5,16307,6823,4942,1881,2597,27635,500,4099,129744,95486,2298,3511,89520,11402,2757,119,50,12352,4993,3581,1412,3264,0,0,0,2381495
2018-03-29,0.673,192,263,5655,47%,45%,39.23%,38.17%,42.44%,17551,2130,230362,19.1,4.9,14610,6758,5067,1691,2231,25962,500,3574,129881,94676,1987,3095,89492,11228,2526,103,35,12060,4731,3465,1266,2983,0,0,0,2312467
2018-03-30,0.7,195,250,4746,47%,46%,39.57%,38.62%,42.36%,20021,1755,198826,19.6,4.6,11899,6036,4609,1427,2034,23795,500,3047,113204,80541,1776,2637,77330,9453,2223,77,19,10158,4020,2923,1097,2590,0,0,0,1983446
2018-03-31,0.588,243,258,2266,49%,54%,39.06%,40.05%,34.36%,14531,2161,92903,20,6.2,4978,3491,2884,607,708,9991,500,1181,56314,34700,627,997,35227,4407,709,21,3,4654,1818,1540,278,809,0,0,0,1129961
2018-04-01,0.65,251,351,2166,49%,49%,39.47%,39.65%,38.62%,12433,5236,79492,17.9,11.5,8614,3286,2380,906,657,9700,500,1086,47234,30515,573,945,29108,4211,636,22,8,4436,1751,1461,290,751,0,0,0,1112633
2018-04-02,0.611,191,299,2863,49%,49%,38.42%,38.09%,40.06%,10537,2090,117400,20.2,6.3,6184,4167,3441,726,919,12678,500,1669,69409,45403,806,1448,47133,5507,838,40,7,5825,2238,1847,391,976,0,0,0,1110184
2018-04-03,0.785,200,298,5812,46%,45%,40.76%,40.81%,40.61%,9899,2576,246779,19.4,5.7,18712,7777,5547,2230,2666,28669,500,4041,134498,105574,2366,3524,97607,11686,2744,107,40,12688,5171,3846,1325,3263,0,0,0,2534311
2018-04-04,0.687,207,294,5577,45%,44%,41.44%,40.87%,43.03%,14773,3237,237119,19.3,5.5,17798,7622,5417,2205,2400,27513,500,4120,130517,100082,2133,3555,90773,11311,2699,109,37,12272,5086,3691,1395,3242,0,0,0,2541945
2018-04-05,0.727,209,319,5537,46%,44%,40.46%,39.37%,43.43%,36864,2708,233011,19.3,5.5,18051,7666,4925,2741,2488,26567,500,3831,133112,93580,2236,3356,87852,11088,2739,113,57,12055,4878,3463,1415,3258,0,0,0,2520424
2018-04-06,0.62,240,338,4513,46%,46%,40.14%,39.79%,41.06%,11099,2312,209458,21.3,5.1,13725,6944,4828,2116,1961,25155,500,3065,120567,83865,1762,2667,85765,9001,2243,113,56,9849,3953,2853,1100,2679,0,0,0,2361750
2018-04-07,0.651,271,461,2268,48%,49%,39.41%,39.34%,39.76%,16910,2193,119482,25.3,7.3,6053,3680,2560,1120,788,10696,500,1235,81399,36060,694,1059,55277,4446,685,33,9,4722,1861,1533,328,825,0,0,0,1281507
2018-04-08,0.646,231,278,2628,49%,51%,37.6%,37.92%,36.07%,15920,11736,123642,23.1,15.9,14708,3120,2644,476,833,10855,500,1409,78365,43035,735,1213,51678,5063,800,31,6,5351,2012,1678,334,926,0,0,0,1234855
